"constructor_ID","constructor_name","constructor_abbr","nationality"
1,"Alfa Romeo","alfa","Swiss"
2,"Alta","alta","British"
3,"ERA","era","British"
4,"Maserati","maserati","Italian"
5,"Talbot-Lago","lago","French"
6,"Cooper","cooper","British"
7,"Ferrari","ferrari","Italian"
8,"Simca","simca","French"
9,"Adams","adams","American"
10,"Deidt","deidt","American"
11,"Ewing","ewing","American"
12,"Kurtis Kraft","kurtis_kraft","American"
13,"Langley","langley","American"
14,"Lesovsky","lesovsky","American"
15,"Marchese","marchese","American"
16,"Moore","moore","American"
17,"Nichels","nichels","American"
18,"Olson","olson","American"
19,"Rae","rae","American"
20,"Snowberger","snowberger","American"
21,"Stevens","stevens","American"
22,"Watson","watson","American"
23,"Wetteroth","wetteroth","American"
24,"Milano","milano","Italian"
25,"HWM","hwm","British"
26,"Veritas","veritas","German"
27,"Bromme","bromme","American"
28,"Hall","hall","American"
29,"Kuzma","kuzma","American"
30,"Pawl","pawl","American"
31,"Schroeder","schroeder","American"
32,"Sherman","sherman","American"
33,"Trevis","trevis","American"
34,"BRM","brm","British"
35,"OSCA","osca","Italian"
36,"AFM","afm","German"
37,"Frazer Nash","frazer_nash","British"
38,"Gordini","gordini","French"
39,"Aston Butterworth","butterworth","British"
40,"Connaught","connaught","British"
41,"BMW","bmw","German"
42,"Cisitalia","cisitalia","Italian"
43,"Del Roy","del_roy","American"
44,"Turner","turner","American"
45,"EMW","emw","East German"
46,"Pankratz","pankratz","American"
47,"Phillips","phillips","American"
48,"Mercedes","mercedes","German"
49,"Vanwall","vanwall","British"
50,"Klenk","klenk","German"
51,"Lancia","lancia","Italian"
52,"Epperly","epperly","American"
53,"Arzani-Volpini","arzani-volpini","Italian"
54,"Bugatti","bugatti","French"
55,"Emeryson","emeryson","British"
56,"Dunn","dunn","American"
57,"Porsche","porsche","German"
58,"Team Lotus","team_lotus","British"
59,"Cooper-Climax","cooper-climax","British"
60,"Cooper-Maserati","cooper-maserati","British"
61,"Christensen","vhristensen","American"
62,"Elder","elder","American"
63,"Sutton","sutton","American"
64,"Aston Martin","aston_martin","British"
65,"Cooper-Borgward","cooper-borgward","British"
66,"Fry","fry","British"
67,"JBW","jbw","British"
68,"Cooper-OSCA","cooper-osca","British"
69,"Tec-Mec","tec-mec","Italian"
