"driver_Standings_ID","race_ID","driver_ID","points","position","position_Text","wins","constructor_ID"
1,1,78,0,22,"22",0,1
2,1,28,0,18,"18",0,1
3,1,31,0,9,"9",0,1
4,1,67,9,1,"1",1,1
5,1,42,0,21,"21",0,1
6,1,65,6,2,"2",0,1
7,1,57,0,12,"12",0,1
8,1,52,3,4,"4",0,1
9,1,66,0,13,"13",0,1
10,1,50,0,11,"11",0,1
11,1,40,4,3,"3",0,1
12,1,9,0,14,"14",0,1
13,1,15,0,20,"20",0,1
14,1,64,0,8,"8",0,1
15,1,10,0,23,"23",0,1
16,1,59,0,17,"17",0,1
17,1,22,0,15,"15",0,1
18,1,71,0,10,"10",0,1
19,1,33,0,7,"7",0,1
20,1,26,0,6,"6",0,1
21,1,74,0,16,"16",0,1
22,1,44,2,5,"5",0,1
23,1,55,0,19,"19",0,1
24,2,51,3,8,"8",0,1
25,2,59,0,24,"24",0,1
26,2,50,0,17,"17",0,1
27,2,7,0,31,"31",0,1
28,2,33,0,13,"13",0,1
29,2,71,0,16,"16",0,1
30,2,79,0,33,"33",0,1
31,2,44,2,9,"9",0,1
32,2,41,0,26,"26",0,1
33,2,22,2,10,"10",0,1
34,2,31,0,15,"15",0,1
35,2,67,9,1,"1",1,1
36,2,28,0,22,"22",0,1
37,2,40,4,6,"6",0,1
38,2,42,0,29,"29",0,1
39,2,52,3,7,"7",0,1
40,2,27,0,19,"19",0,1
41,2,2,0,25,"25",0,1
42,2,74,0,23,"23",0,1
43,2,14,0,21,"21",0,1
44,2,66,9,2,"2",1,1
45,2,10,0,32,"32",0,1
46,2,3,0,18,"18",0,1
47,2,26,0,11,"11",0,1
48,2,47,0,28,"28",0,1
49,2,78,0,30,"30",0,1
50,2,18,6,4,"4",0,1
51,2,65,6,3,"3",0,1
52,2,57,0,12,"12",0,1
53,2,9,0,20,"20",0,1
54,2,55,4,5,"5",0,1
55,2,64,0,14,"14",0,1
56,2,15,0,27,"27",0,1
57,3,4,0,18,"18",0,1
58,3,12,0,61,"61",0,1
59,3,78,0,55,"55",0,1
60,3,10,0,57,"57",0,1
61,3,2,0,50,"50",0,1
62,3,31,0,24,"24",0,1
