"","race_ID","driver_ID","lap","position","time"
"1",582,744,1,1,"00:01:43.702"
"2",582,729,1,12,"00:01:51.529"
"3",582,724,1,10,"00:01:50.436"
"4",582,703,1,4,"00:01:45.188"
"5",582,734,1,19,"00:01:56.926"
"6",582,742,1,16,"00:01:54.831"
"7",582,651,1,18,"00:01:56.481"
"8",582,722,1,3,"00:01:44.981"
"9",582,737,1,17,"00:01:56.143"
"10",582,743,1,13,"00:01:52.690"
"11",582,711,1,2,"00:01:44.243"
"12",582,736,1,8,"00:01:49.468"
"13",582,699,1,6,"00:01:48.430"
"14",582,707,1,14,"00:01:53.435"
"15",582,685,1,5,"00:01:46.506"
"16",582,720,1,15,"00:01:54.047"
"17",582,726,1,11,"00:01:50.930"
"18",582,718,1,7,"00:01:49.058"
"19",582,650,1,9,"00:01:49.726"
"20",583,680,1,21,"00:02:23.098"
"21",583,707,1,19,"00:02:16.148"
"22",583,744,1,2,"00:01:54.680"
"23",583,727,1,20,"00:02:18.220"
"24",583,711,1,1,"00:01:51.909"
"25",583,729,1,17,"00:02:14.514"
"26",583,726,1,8,"00:02:04.328"
"27",583,703,1,5,"00:01:59.286"
"28",583,685,1,3,"00:01:56.828"
"29",583,718,1,4,"00:01:57.709"
"30",583,717,1,16,"00:02:13.761"
"31",583,736,1,7,"00:02:03.377"
"32",583,720,1,11,"00:02:05.712"
"33",583,724,1,12,"00:02:08.409"
"34",583,734,1,9,"00:02:05.182"
"35",583,722,1,13,"00:02:09.844"
"36",583,737,1,18,"00:02:15.001"
"37",583,699,1,14,"00:02:11.903"
"38",583,651,1,6,"00:02:01.458"
"39",583,742,1,15,"00:02:12.117"
"40",583,650,1,10,"00:02:05.409"
"41",584,699,1,8,"00:01:43.051"
"42",584,685,1,3,"00:01:36.618"
"43",584,711,1,1,"00:01:35.109"
"44",584,724,1,17,"00:01:48.716"
"45",584,722,1,10,"00:01:44.180"
"46",584,650,1,4,"00:01:37.391"
"47",584,720,1,19,"00:01:49.520"
"48",584,736,1,11,"00:01:44.791"
"49",584,734,1,5,"00:01:40.830"
"50",584,727,1,20,"00:01:51.030"
"51",584,718,1,6,"00:01:41.563"
"52",584,717,1,18,"00:01:49.268"
"53",584,742,1,22,"00:01:51.788"
"54",584,680,1,14,"00:01:47.131"
"55",584,726,1,7,"00:01:42.211"
"56",584,737,1,21,"00:01:51.249"
"57",584,745,1,16,"00:01:48.199"
"58",584,707,1,13,"00:01:46.540"
"59",584,703,1,2,"00:01:35.713"
"60",584,744,1,9,"00:01:43.547"
"61",584,729,1,15,"00:01:47.931"
"62",584,651,1,12,"00:01:45.577"
"63",585,742,1,17,"00:01:39.257"
"64",585,699,1,6,"00:01:33.104"
"65",585,711,1,5,"00:01:32.423"
"66",585,726,1,12,"00:01:36.417"
"67",585,651,1,7,"00:01:33.825"
"68",585,680,1,10,"00:01:35.452"
"69",585,650,1,19,"00:01:42.104"
"70",585,707,1,20,"00:03:26.980"
"71",585,729,1,14,"00:01:37.349"
"72",585,685,1,13,"00:01:36.595"
"73",585,718,1,3,"00:01:31.587"
"74",585,737,1,15,"00:01:37.840"
"75",585,720,1,16,"00:01:38.623"
"76",585,734,1,2,"00:01:30.887"
"77",585,744,1,1,"00:01:30.097"
"78",585,703,1,4,"00:01:32.122"
"79",585,722,1,9,"00:01:34.777"
"80",585,724,1,11,"00:01:35.965"
"81",585,743,1,18,"00:01:39.650"
"82",585,736,1,8,"00:01:34.437"
"83",586,718,1,6,"00:01:43.987"
"84",586,711,1,2,"00:01:39.144"
"85",586,726,1,10,"00:01:46.403"
"86",586,707,1,16,"00:01:49.458"
"87",586,742,1,17,"00:01:50.264"
"88",586,680,1,12,"00:01:47.410"
"89",586,685,1,7,"00:01:44.868"
"90",586,722,1,8,"00:01:45.343"
"91",586,743,1,19,"00:01:50.984"
"92",586,650,1,5,"00:01:42.081"
"93",586,717,1,20,"00:01:51.719"
"94",586,729,1,15,"00:01:49.047"
"95",586,736,1,11,"00:01:47.183"
"96",586,703,1,3,"00:01:39.284"
"97",586,699,1,13,"00:01:48.202"
"98",586,737,1,14,"00:01:48.619"
"99",586,744,1,21,"00:02:57.527"
"100",586,651,1,9,"00:01:45.971"
"101",586,734,1,1,"00:01:38.384"
"102",586,724,1,4,"00:01:41.931"
"103",586,720,1,18,"00:01:50.614"
"104",587,651,1,11,"00:02:11.102"
"105",587,729,1,12,"00:02:11.654"
"106",587,737,1,16,"00:02:23.785"
"107",587,707,1,13,"00:02:13.301"
"108",587,680,1,9,"00:02:09.079"
"109",587,711,1,1,"00:01:56.036"
"110",587,742,1,15,"00:02:19.667"
"111",587,734,1,6,"00:02:07.317"
"112",587,722,1,4,"00:02:03.471"
"113",587,717,1,14,"00:02:15.844"
"114",587,724,1,8,"00:02:08.621"
"115",587,744,1,7,"00:02:07.787"
"116",587,736,1,5,"00:02:06.123"
"117",587,685,1,2,"00:02:00.359"
"118",587,699,1,10,"00:02:09.943"
"119",587,650,1,3,"00:02:02.527"
"120",588,685,1,2,"00:01:55.991"
"121",588,724,1,17,"00:04:24.604"
"122",588,726,1,12,"00:02:11.025"
"123",588,736,1,9,"00:02:06.437"
"124",588,651,1,10,"00:02:08.373"
"125",588,737,1,11,"00:02:10.072"
"126",588,743,1,16,"00:03:03.566"
"127",588,744,1,1,"00:01:54.259"
"128",588,707,1,15,"00:02:45.402"
"129",588,729,1,14,"00:02:28.270"
"130",588,699,1,13,"00:02:17.639"
"131",588,722,1,5,"00:01:59.611"
"132",588,718,1,7,"00:02:02.326"
"133",588,650,1,4,"00:01:58.484"
"134",588,703,1,6,"00:02:00.510"
"135",588,711,1,3,"00:01:57.020"
"136",588,680,1,8,"00:02:03.906"
"137",589,743,1,16,"00:01:40.421"
"138",589,703,1,17,"00:01:40.753"
"139",589,736,1,8,"00:01:35.662"
"140",589,722,1,4,"00:01:33.016"
"141",589,707,1,20,"00:01:43.853"
"142",589,685,1,3,"00:01:32.438"
"143",589,650,1,6,"00:01:34.505"
"144",589,727,1,21,"00:01:43.858"
"145",589,711,1,1,"00:01:29.495"
"146",589,742,1,19,"00:01:42.601"
"147",589,699,1,5,"00:01:33.942"
"148",589,717,1,18,"00:01:41.733"
"149",589,724,1,14,"00:01:38.548"
"150",589,737,1,15,"00:01:39.457"
"151",589,744,1,2,"00:01:31.547"
"152",589,718,1,9,"00:01:36.165"
"153",589,680,1,12,"00:01:37.723"
"154",589,729,1,13,"00:01:38.270"
"155",589,720,1,22,"00:01:44.047"
"156",589,651,1,7,"00:01:34.928"
"157",589,734,1,10,"00:01:36.893"
"158",589,726,1,11,"00:01:37.266"
"159",590,651,1,6,"00:01:27.341"
"160",590,650,1,5,"00:01:26.639"
"161",590,734,1,7,"00:01:27.691"
"162",590,699,1,3,"00:01:25.011"
"163",590,742,1,21,"00:01:35.513"
"164",590,685,1,2,"00:01:23.964"
"165",590,711,1,1,"00:01:22.464"
"166",590,720,1,20,"00:01:34.610"
"167",590,736,1,12,"00:01:30.282"
"168",590,737,1,8,"00:01:28.265"
"169",590,727,1,19,"00:01:33.923"
"170",590,717,1,17,"00:01:33.067"
"171",590,744,1,4,"00:01:25.696"
"172",590,726,1,11,"00:01:29.663"
"173",590,718,1,9,"00:01:28.886"
"174",590,729,1,10,"00:01:29.282"
"175",590,707,1,13,"00:01:31.181"
"176",590,724,1,14,"00:01:31.676"
"177",590,722,1,16,"00:01:32.543"
"178",590,680,1,15,"00:01:32.132"
"179",590,743,1,18,"00:01:33.518"
"180",591,729,1,16,"00:01:46.981"
"181",591,703,1,4,"00:01:40.235"
"182",591,744,1,1,"00:01:36.632"
"183",591,724,1,17,"00:01:47.716"
"184",591,737,1,15,"00:01:46.743"
"185",591,680,1,12,"00:01:45.378"
"186",591,736,1,11,"00:01:45.053"
"187",591,743,1,18,"00:01:48.395"
"188",591,726,1,13,"00:01:45.789"
"189",591,685,1,2,"00:01:38.235"
"190",591,720,1,20,"00:01:49.824"
"191",591,650,1,8,"00:01:43.054"
"192",591,722,1,7,"00:01:42.242"
"193",591,699,1,3,"00:01:39.295"
"194",591,711,1,5,"00:01:40.894"
"195",591,718,1,6,"00:01:41.655"
"196",591,651,1,9,"00:01:43.745"
"197",591,734,1,10,"00:01:44.314"
"198",591,742,1,19,"00:01:48.934"
"199",591,707,1,14,"00:01:46.514"
"200",592,722,1,7,"00:01:57.939"
"201",592,744,1,6,"00:01:57.479"
"202",592,720,1,16,"00:02:03.900"
"203",592,650,1,1,"00:01:52.853"
"204",592,707,1,18,"00:02:04.895"
"205",592,736,1,11,"00:02:00.954"
"206",592,724,1,15,"00:02:03.262"
"207",592,703,1,4,"00:01:55.884"
"208",592,651,1,10,"00:02:00.404"
"209",592,685,1,2,"00:01:54.037"
"210",592,729,1,12,"00:02:01.465"
"211",592,680,1,14,"00:02:02.800"
"212",592,699,1,8,"00:01:58.304"
"213",592,711,1,3,"00:01:55.214"
"214",592,718,1,9,"00:01:59.868"
"215",592,734,1,5,"00:01:56.820"
"216",592,742,1,17,"00:02:04.294"
"217",592,737,1,13,"00:02:01.946"
"218",593,744,1,2,"00:01:26.622"
"219",593,685,1,3,"00:01:29.088"
"220",593,720,1,18,"00:01:40.027"
"221",593,739,1,17,"00:01:39.624"
"222",593,736,1,11,"00:01:35.118"
"223",593,699,1,7,"00:01:32.464"
"224",593,711,1,4,"00:01:29.489"
"225",593,737,1,19,"00:01:40.435"
"226",593,718,1,10,"00:01:34.618"
"227",593,729,1,14,"00:01:37.727"
"228",593,651,1,12,"00:01:36.323"
"229",593,703,1,1,"00:01:25.450"
"230",593,680,1,8,"00:01:32.924"
"231",593,650,1,6,"00:01:31.108"
"232",593,742,1,16,"00:01:39.137"
"233",593,734,1,9,"00:01:33.405"
"234",593,707,1,13,"00:01:37.231"
"235",593,726,1,15,"00:01:38.328"
"236",593,722,1,5,"00:01:30.563"
"237",594,744,1,1,"00:02:00.634"
"238",594,724,1,10,"00:02:09.947"
"239",594,650,1,6,"00:02:04.744"
"240",594,742,1,14,"00:02:16.535"
"241",594,651,1,8,"00:02:06.878"
"242",594,722,1,9,"00:02:07.947"
"243",594,720,1,15,"00:02:17.417"
"244",594,718,1,16,"00:02:28.031"
"245",594,707,1,11,"00:02:11.573"
"246",594,703,1,2,"00:02:01.517"
"247",594,699,1,5,"00:02:04.114"
"248",594,734,1,3,"00:02:02.556"
"249",594,685,1,7,"00:02:05.513"
"250",594,711,1,4,"00:02:03.188"
"251",594,737,1,12,"00:02:13.049"
"252",594,726,1,13,"00:02:13.446"
"253",595,651,1,10,"00:01:41.076"
"254",595,720,1,19,"00:01:47.392"
"255",595,685,1,2,"00:01:37.182"
"256",595,711,1,1,"00:01:36.576"
"257",595,737,1,11,"00:01:41.532"
"258",595,742,1,18,"00:01:46.202"
"259",595,707,1,15,"00:01:43.837"
"260",595,724,1,16,"00:01:44.804"
"261",595,736,1,13,"00:01:42.326"
"262",595,726,1,14,"00:01:42.974"
"263",595,650,1,7,"00:01:38.978"
"264",595,729,1,17,"00:01:44.940"
"265",595,699,1,3,"00:01:37.441"
"266",595,739,1,20,"00:01:48.386"
"267",595,680,1,9,"00:01:40.466"
"268",595,734,1,5,"00:01:38.080"
"269",595,703,1,6,"00:01:38.484"
"270",595,744,1,4,"00:01:37.888"
"271",595,722,1,8,"00:01:39.432"
"272",595,718,1,12,"00:01:41.943"
"273",596,650,1,5,"00:01:34.336"
"274",596,685,1,2,"00:01:31.708"
"275",596,720,1,20,"00:04:26.095"
"276",596,744,1,4,"00:01:33.116"
"277",596,651,1,10,"00:01:38.010"
"278",596,711,1,1,"00:01:30.560"
"279",596,729,1,13,"00:01:39.488"
"280",596,707,1,18,"00:01:43.073"
"281",596,718,1,9,"00:01:37.492"
"282",596,680,1,11,"00:01:38.495"
"283",596,722,1,6,"00:01:35.470"
"284",596,739,1,19,"00:01:43.617"
"285",596,726,1,14,"00:01:40.009"
"286",596,724,1,12,"00:01:38.949"
"287",596,737,1,16,"00:01:41.647"
"288",596,742,1,17,"00:01:42.382"
"289",596,699,1,8,"00:01:36.630"
"290",596,736,1,15,"00:01:41.145"
"291",596,734,1,7,"00:01:36.150"
"292",596,703,1,3,"00:01:32.530"
"293",597,699,1,3,"00:01:49.697"
"294",597,711,1,1,"00:01:48.057"
"295",597,726,1,13,"00:01:59.877"
"296",597,737,1,12,"00:01:57.369"
"297",597,722,1,5,"00:01:51.281"
"298",597,729,1,10,"00:01:55.522"
"299",597,718,1,8,"00:01:54.381"
"300",597,720,1,16,"00:02:00.997"
"301",597,744,1,6,"00:01:52.023"
"302",597,707,1,15,"00:02:00.672"
"303",597,736,1,9,"00:01:54.879"
"304",597,734,1,17,"00:02:01.040"
"305",597,724,1,14,"00:02:00.522"
"306",597,650,1,2,"00:01:48.461"
"307",597,703,1,4,"00:01:50.319"
"308",597,651,1,7,"00:01:52.724"
"309",597,742,1,18,"00:02:01.972"
"310",597,680,1,11,"00:01:56.717"
"311",598,740,1,13,"00:01:51.178"
"312",598,724,1,15,"00:01:52.252"
"313",598,726,1,14,"00:01:51.925"
"314",598,703,1,3,"00:01:43.248"
"315",598,737,1,18,"00:05:16.508"
"316",598,685,1,5,"00:01:45.922"
"317",598,650,1,6,"00:01:46.104"
"318",598,667,1,8,"00:01:47.788"
"319",598,729,1,7,"00:01:46.556"
"320",598,736,1,1,"00:01:39.737"
"321",598,699,1,4,"00:01:44.478"
"322",598,707,1,12,"00:01:50.616"
"323",598,749,1,17,"00:01:55.688"
"324",598,743,1,10,"00:01:48.957"
"325",598,734,1,2,"00:01:42.473"
"326",598,751,1,16,"00:01:53.968"
"327",598,747,1,9,"00:01:48.323"
"328",598,718,1,11,"00:01:50.087"
"329",599,685,1,5,"00:01:28.343"
"330",599,737,1,16,"00:01:33.950"
"331",599,680,1,11,"00:01:32.080"
"332",599,722,1,15,"00:01:33.628"
"333",599,736,1,13,"00:01:32.263"
"334",599,667,1,17,"00:01:34.942"
"335",599,744,1,1,"00:01:25.333"
"336",599,729,1,6,"00:01:28.715"
"337",599,699,1,3,"00:01:27.334"
"338",599,724,1,19,"00:01:36.046"
"339",599,743,1,9,"00:01:30.555"
"340",599,703,1,2,"00:01:25.334"
"341",599,751,1,18,"00:01:35.625"
"342",599,726,1,20,"00:01:36.402"
"343",599,734,1,8,"00:01:30.288"
"344",599,747,1,10,"00:01:31.083"
"345",599,650,1,4,"00:01:27.757"
"346",599,711,1,7,"00:01:29.662"
"347",599,749,1,14,"00:01:33.559"
"348",599,718,1,12,"00:01:32.089"
"349",599,707,1,21,"00:04:22.641"
"350",600,707,1,12,"00:01:48.977"
"351",600,667,1,17,"00:01:53.181"
"352",600,726,1,11,"00:01:46.110"
"353",600,680,1,7,"00:01:40.768"
"354",600,724,1,15,"00:01:50.154"
"355",600,650,1,16,"00:01:51.852"
"356",600,743,1,5,"00:01:39.492"
"357",600,685,1,9,"00:01:42.563"
"358",600,749,1,14,"00:01:49.890"
"359",600,747,1,8,"00:01:41.023"
"360",600,718,1,20,"00:02:07.236"
"361",600,711,1,6,"00:01:40.436"
"362",600,736,1,2,"00:01:36.017"
"363",600,744,1,1,"00:01:33.550"
"364",600,737,1,10,"00:01:45.174"
"365",600,699,1,13,"00:01:49.094"
"366",600,722,1,4,"00:01:39.416"
"367",600,751,1,18,"00:01:53.727"
"368",600,729,1,3,"00:01:38.682"
"369",600,740,1,19,"00:01:54.031"
"370",601,667,1,13,"00:01:49.482"
"371",601,729,1,6,"00:01:44.382"
"372",601,718,1,12,"00:01:48.706"
"373",601,707,1,20,"00:01:56.161"
"374",601,734,1,9,"00:01:46.032"
"375",601,711,1,21,"00:01:58.542"
"376",601,743,1,8,"00:01:45.185"
"377",601,747,1,4,"00:01:42.905"
"378",601,699,1,10,"00:01:47.521"
"379",601,736,1,3,"00:01:42.085"
"380",601,722,1,7,"00:01:44.969"
"381",601,737,1,14,"00:01:50.118"
"382",601,751,1,18,"00:01:52.904"
"383",601,744,1,1,"00:01:40.495"
"384",601,726,1,16,"00:01:51.109"
"385",601,685,1,11,"00:01:48.334"
"386",601,650,1,19,"00:01:53.573"
"387",601,703,1,2,"00:01:40.915"
"388",601,724,1,17,"00:01:51.819"
"389",601,680,1,5,"00:01:43.710"
"390",601,740,1,15,"00:01:50.919"
"391",602,749,1,17,"00:02:22.487"
"392",602,724,1,15,"00:02:19.158"
"393",602,740,1,18,"00:02:22.547"
"394",602,726,1,16,"00:02:20.261"
"395",602,736,1,4,"00:02:07.505"
"396",602,667,1,21,"00:02:29.462"
"397",602,747,1,3,"00:02:07.300"
"398",602,743,1,2,"00:02:05.442"
"399",602,707,1,19,"00:02:24.329"
"400",602,711,1,13,"00:02:17.648"
"401",602,718,1,5,"00:02:08.726"
"402",602,729,1,8,"00:02:13.020"
"403",602,703,1,1,"00:01:58.788"
"404",602,685,1,11,"00:02:16.327"
"405",602,744,1,9,"00:02:15.043"
"406",602,650,1,14,"00:02:18.281"
"407",602,699,1,10,"00:02:15.786"
