"","qualify_ID","race_ID","driver_ID","constructor_ID","number","position","q1","q2","q3"
"1",1,549,"656",143,2,1,"00:01:15.962",NA,NA
"2",2,549,"680",58,12,21,"00:01:19.483",NA,NA
"3",3,549,"720",58,11,24,"00:01:19.975",NA,NA
"4",4,549,"731",169,19,23,"00:01:19.524",NA,NA
"5",5,549,"685",7,27,3,"00:01:17.385",NA,NA
"6",6,549,"650",7,28,17,"00:01:18.855",NA,NA
"7",7,549,"694",178,10,6,"00:01:17.866",NA,NA
"8",8,549,"711",143,0,4,"00:01:17.554",NA,NA
"9",9,549,"726",167,6,9,"00:01:18.183",NA,NA
"10",10,549,"712",178,9,11,"00:01:18.204",NA,NA
"11",11,549,"698",123,4,12,"00:01:18.246",NA,NA
"12",12,549,"651",117,8,18,"00:01:18.864",NA,NA
"13",13,549,"687",147,25,20,"00:01:19.398",NA,NA
"14",14,549,"703",167,5,2,"00:01:16.290",NA,NA
"15",15,549,"654",165,23,15,"00:01:18.659",NA,NA
"16",16,549,"736",182,30,5,"00:01:17.806",NA,NA
"17",17,549,"705",182,29,7,"00:01:17.927",NA,NA
"18",18,549,"630",165,24,22,"00:01:19.517",NA,NA
"19",19,549,"695",184,31,26,"00:01:21.186",NA,NA
"20",20,549,"707",123,3,10,"00:01:18.194",NA,NA
"21",21,549,"702",169,20,13,"00:01:18.321",NA,NA
"22",22,549,"683",183,34,25,"00:01:20.729",NA,NA
"23",23,549,"729",147,26,19,"00:01:19.304",NA,NA
"24",24,549,"718",179,14,14,"00:01:18.414",NA,NA
"25",25,549,"722",179,15,16,"00:01:18.751",NA,NA
"26",26,549,"699",117,7,8,"00:01:18.122",NA,NA
"27",27,550,"726",167,6,10,"00:01:12.554",NA,NA
"28",28,550,"711",143,0,3,"00:01:10.771",NA,NA
"29",29,550,"687",147,25,18,"00:01:13.613",NA,NA
"30",30,550,"720",58,11,24,"00:01:14.657",NA,NA
"31",31,550,"650",7,28,5,"00:01:11.744",NA,NA
"32",32,550,"654",165,23,17,"00:01:13.529",NA,NA
"33",33,550,"694",178,10,13,"00:01:12.866",NA,NA
"34",34,550,"707",123,3,14,"00:01:13.013",NA,NA
"35",35,550,"699",117,7,4,"00:01:11.683",NA,NA
"36",36,550,"703",167,5,2,"00:01:10.440",NA,NA
"37",37,550,"736",182,30,11,"00:01:12.686",NA,NA
"38",38,550,"723",184,32,26,"00:01:16.536",NA,NA
"39",39,550,"680",58,12,23,"00:01:14.424",NA,NA
"40",40,550,"718",179,14,8,"00:01:12.409",NA,NA
"41",41,550,"651",117,8,6,"00:01:12.351",NA,NA
"42",42,550,"656",143,2,1,"00:01:10.218",NA,NA
"43",43,550,"675",179,15,20,"00:01:13.932",NA,NA
"44",44,550,"712",178,9,9,"00:01:12.444",NA,NA
"45",45,550,"630",165,24,15,"00:01:13.016",NA,NA
"46",46,550,"698",123,4,12,"00:01:12.751",NA,NA
"47",47,550,"667",7,27,7,"00:01:12.372",NA,NA
"48",48,550,"729",147,26,22,"00:01:14.106",NA,NA
"49",49,550,"705",182,29,19,"00:01:13.855",NA,NA
"50",50,550,"731",169,19,21,"00:01:14.101",NA,NA
"51",51,550,"702",169,20,16,"00:01:13.111",NA,NA
"52",52,550,"695",184,31,25,"00:01:14.748",NA,NA
"53",53,551,"698",123,4,12,"00:01:23.703",NA,NA
"54",54,551,"702",169,20,18,"00:01:24.852",NA,NA
"55",55,551,"667",7,27,6,"00:01:22.841",NA,NA
"56",56,551,"695",184,31,24,"00:01:26.817",NA,NA
"57",57,551,"683",183,34,25,"00:01:27.143",NA,NA
"58",58,551,"656",143,2,1,"00:01:21.548",NA,NA
"59",59,551,"694",178,10,11,"00:01:23.663",NA,NA
"60",60,551,"720",58,11,22,"00:01:25.295",NA,NA
"61",61,551,"621",179,15,21,"00:01:25.234",NA,NA
"62",62,551,"651",117,8,13,"00:01:23.858",NA,NA
"63",63,551,"680",58,12,20,"00:01:25.114",NA,NA
"64",64,551,"736",182,30,7,"00:01:23.119",NA,NA
"65",65,551,"687",147,25,17,"00:01:24.678",NA,NA
"66",66,551,"707",123,3,9,"00:01:23.322",NA,NA
"67",67,551,"654",165,23,14,"00:01:24.078",NA,NA
"68",68,551,"712",178,9,16,"00:01:24.472",NA,NA
"69",69,551,"699",117,7,8,"00:01:23.140",NA,NA
"70",70,551,"709",183,33,27,"00:01:27.881",NA,NA
"71",71,551,"705",182,29,10,"00:01:23.347",NA,NA
"72",72,551,"630",165,24,15,"00:01:24.276",NA,NA
"73",73,551,"729",147,26,19,"00:01:24.996",NA,NA
"74",74,551,"711",143,0,4,"00:01:22.168",NA,NA
"75",75,551,"723",184,32,26,"00:01:27.584",NA,NA
"76",76,551,"691",167,6,5,"00:01:22.717",NA,NA
"77",77,551,"650",7,28,3,"00:01:22.113",NA,NA
"78",78,551,"703",167,5,2,"00:01:21.885",NA,NA
"79",79,551,"731",169,19,23,"00:01:25.991",NA,NA
"80",80,551,"718",179,14,28,NA,NA,NA
"81",81,553,"630",165,24,14,"00:01:24.996",NA,NA
"82",82,553,"654",165,23,18,"00:01:25.247",NA,NA
"83",83,553,"685",7,27,6,"00:01:23.700",NA,NA
"84",84,553,"650",7,28,7,"00:01:23.715",NA,NA
"85",85,553,"707",123,3,10,"00:01:23.969",NA,NA
"86",86,553,"702",169,20,16,"00:01:25.050",NA,NA
"87",87,553,"722",179,15,13,"00:01:24.930",NA,NA
"88",88,553,"731",169,19,17,"00:01:25.161",NA,NA
"89",89,553,"711",143,0,2,"00:01:22.559",NA,NA
"90",90,553,"706",58,11,23,"00:01:27.685",NA,NA
"91",91,553,"680",58,12,22,"00:01:26.397",NA,NA
"92",92,553,"734",143,2,9,"00:01:23.782",NA,NA
"93",93,553,"691",167,6,4,"00:01:22.983",NA,NA
"94",94,553,"651",117,8,8,"00:01:23.763",NA,NA
"95",95,553,"703",167,5,1,"00:01:21.908",NA,NA
"96",96,553,"695",184,31,24,"00:01:28.151",NA,NA
"97",97,553,"712",178,9,21,"00:01:26.084",NA,NA
"98",98,553,"699",117,7,3,"00:01:22.660",NA,NA
"99",99,553,"698",123,4,11,"00:01:23.981",NA,NA
"100",100,553,"729",147,26,19,"00:01:25.577",NA,NA
"101",101,553,"694",178,10,15,"00:01:25.018",NA,NA
"102",102,553,"718",179,14,5,"00:01:23.594",NA,NA
"103",103,553,"683",183,34,25,"00:01:28.873",NA,NA
"104",104,553,"709",183,33,26,"00:01:30.657",NA,NA
"105",105,553,"736",182,30,12,"00:01:24.254",NA,NA
"106",106,553,"687",147,25,20,"00:01:25.766",NA,NA
"107",107,554,"729",147,26,19,"00:01:28.950",NA,NA
"108",108,554,"621",182,29,14,"00:01:28.694",NA,NA
"109",109,554,"654",165,23,15,"00:01:28.847",NA,NA
"110",110,554,"630",165,24,18,"00:01:28.903",NA,NA
"111",111,554,"698",123,4,13,"00:01:28.579",NA,NA
"112",112,554,"685",7,27,2,"00:01:26.277",NA,NA
"113",113,554,"680",58,12,17,"00:01:28.889",NA,NA
"114",114,554,"734",143,2,5,"00:01:27.211",NA,NA
"115",115,554,"695",184,31,25,"00:01:31.632",NA,NA
"116",116,554,"722",179,15,8,"00:01:27.780",NA,NA
"117",117,554,"736",182,30,10,"00:01:27.977",NA,NA
"118",118,554,"718",179,14,6,"00:01:27.554",NA,NA
"119",119,554,"703",167,5,1,"00:01:26.178",NA,NA
"120",120,554,"711",143,0,4,"00:01:27.094",NA,NA
"121",121,554,"650",7,28,3,"00:01:27.059",NA,NA
"122",122,554,"702",169,20,21,"00:01:29.039",NA,NA
"123",123,554,"706",58,11,23,"00:01:30.160",NA,NA
"124",124,554,"707",123,3,9,"00:01:27.827",NA,NA
"125",125,554,"712",178,9,16,"00:01:28.882",NA,NA
"126",126,554,"694",178,10,11,"00:01:27.989",NA,NA
"127",127,554,"731",169,19,22,"00:01:29.403",NA,NA
"128",128,554,"651",117,8,12,"00:01:28.197",NA,NA
"129",129,554,"683",183,34,26,"00:01:32.838",NA,NA
"130",130,554,"699",117,7,7,"00:01:27.616",NA,NA
"131",131,554,"687",147,25,24,"00:01:30.493",NA,NA
"132",132,554,"691",167,6,20,"00:01:28.993",NA,NA
"133",133,555,"703",167,5,3,"00:01:16.707",NA,NA
"134",134,555,"718",179,14,7,"00:01:17.482",NA,NA
"135",135,555,"620",143,2,2,"00:01:16.359",NA,NA
"136",136,555,"726",167,6,8,"00:01:17.645",NA,NA
"137",137,555,"707",123,3,14,"00:01:18.192",NA,NA
"138",138,555,"729",147,26,13,"00:01:18.044",NA,NA
"139",139,555,"621",182,29,11,"00:01:17.866",NA,NA
"140",140,555,"699",117,7,9,"00:01:17.768",NA,NA
"141",141,555,"711",143,0,1,"00:01:16.282",NA,NA
"142",142,555,"722",179,15,6,"00:01:17.441",NA,NA
"143",143,555,"654",165,23,16,"00:01:18.248",NA,NA
"144",144,555,"680",58,12,19,"00:01:18.715",NA,NA
"145",145,555,"712",178,9,18,"00:01:18.568",NA,NA
"146",146,555,"650",7,28,5,"00:01:16.959",NA,NA
"147",147,555,"702",169,20,20,"00:01:18.811",NA,NA
"148",148,555,"731",169,19,25,"00:01:19.863",NA,NA
"149",149,555,"630",165,24,21,"00:01:18.890",NA,NA
"150",150,555,"698",123,4,17,"00:01:18.381",NA,NA
"151",151,555,"694",178,10,22,"00:01:18.936",NA,NA
"152",152,555,"721",184,32,26,"00:01:21.829",NA,NA
"153",153,555,"687",147,25,15,"00:01:18.236",NA,NA
"154",154,555,"695",184,31,24,"00:01:19.771",NA,NA
"155",155,555,"736",182,30,10,"00:01:17.830",NA,NA
"156",156,555,"706",58,11,23,"00:01:19.066",NA,NA
"157",157,555,"651",117,8,12,"00:01:18.031",NA,NA
"158",158,555,"685",7,27,4,"00:01:16.954",NA,NA
"159",159,556,"712",178,9,20,"00:01:28.231",NA,NA
"160",160,556,"703",167,5,2,"00:01:24.963",NA,NA
"161",161,556,"729",147,26,15,"00:01:27.785",NA,NA
"162",162,556,"695",184,31,25,"00:01:30.690",NA,NA
"163",163,556,"694",178,10,16,"00:01:27.886",NA,NA
"164",164,556,"731",169,19,24,"00:01:29.299",NA,NA
"165",165,556,"711",143,0,1,"00:01:24.960",NA,NA
"166",166,556,"654",165,23,14,"00:01:27.522",NA,NA
"167",167,556,"680",58,12,21,"00:01:28.340",NA,NA
"168",168,556,"722",179,15,12,"00:01:27.065",NA,NA
"169",169,556,"699",117,7,5,"00:01:26.268",NA,NA
"170",170,556,"650",7,28,3,"00:01:24.980",NA,NA
"171",171,556,"706",58,11,19,"00:01:28.225",NA,NA
"172",172,556,"687",147,25,23,"00:01:28.955",NA,NA
"173",173,556,"707",123,3,8,"00:01:26.414",NA,NA
"174",174,556,"726",167,6,10,"00:01:26.841",NA,NA
"175",175,556,"721",184,32,26,"00:01:30.722",NA,NA
"176",176,556,"718",179,14,6,"00:01:26.271",NA,NA
"177",177,556,"734",143,2,7,"00:01:26.337",NA,NA
"178",178,556,"685",7,27,4,"00:01:25.541",NA,NA
"179",179,556,"651",117,8,9,"00:01:26.768",NA,NA
"180",180,556,"630",165,24,17,"00:01:28.100",NA,NA
"181",181,556,"736",182,30,13,"00:01:27.284",NA,NA
"182",182,556,"621",182,29,18,"00:01:28.212",NA,NA
"183",183,556,"702",169,20,22,"00:01:28.519",NA,NA
"184",184,556,"698",123,4,11,"00:01:26.920",NA,NA
"185",185,557,"706",58,11,21,"00:01:47.425",NA,NA
"186",186,557,"699",117,7,8,"00:01:45.487",NA,NA
"187",187,557,"721",184,32,26,"00:01:49.204",NA,NA
"188",188,557,"711",143,0,3,"00:01:44.026",NA,NA
"189",189,557,"687",147,25,14,"00:01:46.290",NA,NA
"190",190,557,"707",123,3,5,"00:01:44.718",NA,NA
"191",191,557,"726",167,6,19,"00:01:47.316",NA,NA
"192",192,557,"650",7,28,1,"00:01:43.582",NA,NA
"193",193,557,"731",169,19,24,"00:01:48.681",NA,NA
"194",194,557,"654",165,23,20,"00:01:47.402",NA,NA
"195",195,557,"694",178,10,16,"00:01:46.817",NA,NA
"196",196,557,"702",169,20,22,"00:01:48.229",NA,NA
"197",197,557,"734",143,2,6,"00:01:45.146",NA,NA
"198",198,557,"729",147,26,12,"00:01:46.185",NA,NA
"199",199,557,"685",7,27,2,"00:01:44.012",NA,NA
"200",200,557,"712",178,9,17,"00:01:47.102",NA,NA
"201",201,557,"621",182,29,18,"00:01:47.235",NA,NA
"202",202,557,"703",167,5,4,"00:01:44.268",NA,NA
"203",203,557,"722",179,15,10,"00:01:45.911",NA,NA
"204",204,557,"698",123,4,7,"00:01:45.474",NA,NA
"205",205,557,"651",117,8,13,"00:01:46.218",NA,NA
"206",206,557,"680",58,12,15,"00:01:46.630",NA,NA
"207",207,557,"736",182,30,9,"00:01:45.893",NA,NA
"208",208,557,"695",184,31,25,"00:01:48.870",NA,NA
"209",209,557,"718",179,14,11,"00:01:45.939",NA,NA
"210",210,557,"630",165,24,23,"00:01:48.295",NA,NA
"211",211,558,"680",58,12,24,"00:01:22.705",NA,NA
"212",212,558,"687",147,25,18,"00:01:22.038",NA,NA
"213",213,558,"731",169,19,25,"00:01:22.899",NA,NA
"214",214,558,"630",165,24,20,"00:01:22.379",NA,NA
"215",215,558,"650",7,28,4,"00:01:20.219",NA,NA
"216",216,558,"729",147,26,9,"00:01:20.929",NA,NA
"217",217,558,"654",165,23,15,"00:01:21.837",NA,NA
"218",218,558,"651",117,8,6,"00:01:20.629",NA,NA
"219",219,558,"722",179,15,7,"00:01:20.698",NA,NA
"220",220,558,"685",7,27,13,"00:01:21.206",NA,NA
"221",221,558,"734",143,2,3,"00:01:20.205",NA,NA
"222",222,558,"711",143,0,2,"00:01:18.824",NA,NA
"223",223,558,"736",182,30,8,"00:01:20.858",NA,NA
"224",224,558,"648",117,7,14,"00:01:21.498",NA,NA
"225",225,558,"707",123,3,5,"00:01:20.232",NA,NA
"226",226,558,"726",167,6,12,"00:01:21.141",NA,NA
"227",227,558,"721",184,32,26,"00:01:24.191",NA,NA
"228",228,558,"698",123,4,11,"00:01:20.984",NA,NA
"229",229,558,"706",58,11,22,"00:01:22.513",NA,NA
"230",230,558,"694",178,10,19,"00:01:22.311",NA,NA
"231",231,558,"712",178,9,16,"00:01:21.873",NA,NA
"232",232,558,"621",182,29,17,"00:01:21.946",NA,NA
"233",233,558,"718",179,14,10,"00:01:20.952",NA,NA
"234",234,558,"695",184,31,23,"00:01:22.614",NA,NA
"235",235,558,"702",169,20,21,"00:01:22.487",NA,NA
"236",236,558,"703",167,5,1,"00:01:18.258",NA,NA
"237",237,559,"698",123,4,12,"00:02:24.048",NA,NA
"238",238,559,"726",167,6,6,"00:02:22.218",NA,NA
"239",239,559,"702",169,20,22,"00:02:28.156",NA,NA
"240",240,559,"650",7,28,11,"00:02:23.895",NA,NA
"241",241,559,"685",7,27,5,"00:02:22.202",NA,NA
"242",242,559,"736",182,30,9,"00:02:22.634",NA,NA
"243",243,559,"699",117,7,8,"00:02:22.441",NA,NA
"244",244,559,"687",147,25,16,"00:02:26.044",NA,NA
"245",245,559,"734",143,2,7,"00:02:22.359",NA,NA
"246",246,559,"651",117,8,13,"00:02:24.117",NA,NA
"247",247,559,"630",165,24,18,"00:02:26.738",NA,NA
"248",248,559,"621",182,29,15,"00:02:25.695",NA,NA
"249",249,559,"680",58,12,20,"00:02:27.155",NA,NA
"250",250,559,"730",58,11,26,"00:02:33.885",NA,NA
"251",251,559,"718",179,14,1,"00:02:21.163",NA,NA
"252",252,559,"711",143,0,3,"00:02:21.681",NA,NA
"253",253,559,"703",167,5,2,"00:02:21.494",NA,NA
"254",254,559,"654",165,23,10,"00:02:23.326",NA,NA
"255",255,559,"648",169,19,19,"00:02:26.901",NA,NA
"256",256,559,"721",184,32,25,"00:02:31.755",NA,NA
"257",257,559,"712",178,9,24,"00:02:30.931",NA,NA
"258",258,559,"695",184,31,21,"00:02:27.212",NA,NA
"259",259,559,"722",179,15,4,"00:02:22.074",NA,NA
"260",260,559,"729",147,26,17,"00:02:26.079",NA,NA
"261",261,559,"707",123,3,23,"00:02:28.979",NA,NA
"262",262,559,"694",178,10,14,"00:02:25.114",NA,NA
"263",263,560,"694",178,10,17,"00:01:26.002",NA,NA
"264",264,560,"711",143,0,3,"00:01:24.158",NA,NA
"265",265,560,"722",179,15,9,"00:01:25.568",NA,NA
"266",266,560,"680",58,12,4,"00:01:24.374",NA,NA
"267",267,560,"699",117,7,7,"00:01:25.528",NA,NA
"268",268,560,"685",7,27,1,"00:01:23.844",NA,NA
"269",269,560,"734",143,2,5,"00:01:24.502",NA,NA
"270",270,560,"706",58,11,13,"00:01:25.733",NA,NA
"271",271,560,"712",178,9,19,"00:01:26.337",NA,NA
"272",272,560,"651",117,8,15,"00:01:25.933",NA,NA
"273",273,560,"691",167,5,20,"00:01:26.384",NA,NA
"274",274,560,"726",167,6,10,"00:01:25.618",NA,NA
"275",275,560,"630",165,24,22,"00:01:26.832",NA,NA
"276",276,560,"721",184,32,25,"00:01:28.353",NA,NA
"277",277,560,"718",179,14,16,"00:01:25.946",NA,NA
"278",278,560,"707",123,3,14,"00:01:25.889",NA,NA
"279",279,560,"654",165,23,18,"00:01:26.056",NA,NA
"280",280,560,"621",182,29,8,"00:01:25.540",NA,NA
"281",281,560,"695",184,31,26,"00:01:28.619",NA,NA
"282",282,560,"669",169,19,23,"00:01:27.846",NA,NA
"283",283,560,"702",169,20,24,"00:01:27.894",NA,NA
"284",284,560,"650",7,28,2,"00:01:23.978",NA,NA
"285",285,560,"729",147,26,6,"00:01:25.455",NA,NA
"286",286,560,"698",123,4,21,"00:01:26.574",NA,NA
"287",287,560,"736",182,30,11,"00:01:25.628",NA,NA
"288",288,560,"687",147,25,12,"00:01:25.718",NA,NA
"289",289,561,"680",58,12,20,"00:01:23.408",NA,NA
"290",290,561,"702",169,20,22,"00:01:24.192",NA,NA
"291",291,561,"699",117,7,4,"00:01:21.251",NA,NA
"292",292,561,"734",143,2,3,"00:01:21.033",NA,NA
"293",293,561,"694",178,10,16,"00:01:22.756",NA,NA
"294",294,561,"718",179,14,8,"00:01:21.796",NA,NA
"295",295,561,"630",165,24,19,"00:01:23.364",NA,NA
"296",296,561,"721",184,32,26,"00:01:25.649",NA,NA
"297",297,561,"730",58,11,25,"00:01:25.313",NA,NA
"298",298,561,"722",179,15,13,"00:01:22.294",NA,NA
"299",299,561,"707",123,3,6,"00:01:21.590",NA,NA
"300",300,561,"669",169,19,23,"00:01:24.438",NA,NA
"301",301,561,"729",147,26,15,"00:01:22.672",NA,NA
"302",302,561,"691",167,5,14,"00:01:22.369",NA,NA
"303",303,561,"726",167,6,10,"00:01:22.000",NA,NA
"304",304,561,"621",182,29,17,"00:01:22.885",NA,NA
"305",305,561,"685",7,27,5,"00:01:21.517",NA,NA
"306",306,561,"654",165,23,18,"00:01:23.243",NA,NA
"307",307,561,"687",147,25,21,"00:01:23.699",NA,NA
"308",308,561,"712",178,9,11,"00:01:22.132",NA,NA
"309",309,561,"698",123,4,12,"00:01:22.288",NA,NA
"310",310,561,"650",7,28,1,"00:01:20.608",NA,NA
"311",311,561,"736",182,30,9,"00:01:21.921",NA,NA
"312",312,561,"695",184,31,24,"00:01:24.514",NA,NA
"313",313,561,"711",143,0,2,"00:01:20.766",NA,NA
"314",314,561,"651",117,8,7,"00:01:21.656",NA,NA
"315",315,562,"726",167,6,12,"00:01:24.643",NA,NA
"316",316,562,"706",58,12,21,"00:01:25.557",NA,NA
"317",317,562,"695",184,31,25,"00:01:27.201",NA,NA
"318",318,562,"725",184,32,26,"00:01:27.976",NA,NA
"319",319,562,"703",167,5,1,"00:01:22.762",NA,NA
"320",320,562,"699",117,7,9,"00:01:24.122",NA,NA
"321",321,562,"620",143,2,3,"00:01:23.392",NA,NA
"322",322,562,"651",117,8,15,"00:01:25.110",NA,NA
"323",323,562,"650",7,28,6,"00:01:23.677",NA,NA
"324",324,562,"702",169,20,23,"00:01:26.272",NA,NA
"325",325,562,"654",165,23,17,"00:01:25.294",NA,NA
"326",326,562,"630",165,24,20,"00:01:25.511",NA,NA
"327",327,562,"736",182,30,4,"00:01:23.431",NA,NA
"328",328,562,"707",123,3,13,"00:01:24.738",NA,NA
"329",329,562,"685",7,27,16,"00:01:25.182",NA,NA
"330",330,562,"698",123,4,14,"00:01:24.770",NA,NA
"331",331,562,"728",169,19,24,"00:01:27.168",NA,NA
"332",332,562,"729",147,26,11,"00:01:24.432",NA,NA
"333",333,562,"711",143,0,2,"00:01:22.892",NA,NA
"334",334,562,"722",179,15,10,"00:01:24.157",NA,NA
"335",335,562,"621",182,29,18,"00:01:25.407",NA,NA
"336",336,562,"712",178,9,19,"00:01:25.427",NA,NA
"337",337,562,"718",179,14,5,"00:01:23.455",NA,NA
"338",338,562,"694",178,10,8,"00:01:24.079",NA,NA
"339",339,562,"687",58,11,22,"00:01:25.595",NA,NA
"340",340,562,"680",147,25,7,"00:01:24.040",NA,NA
"341",341,563,"722",179,15,6,"00:01:37.880",NA,NA
"342",342,563,"729",147,26,19,"00:01:40.042",NA,NA
"343",343,563,"728",169,19,23,"00:01:40.990",NA,NA
"344",344,563,"694",178,10,12,"00:01:39.030",NA,NA
"345",345,563,"732",184,32,26,"00:01:45.004",NA,NA
