"result_ID","race_ID","driver_ID","constructor_ID","number","grid","position","position_Text","points","laps","time","milliseconds","fastest_Lap","rank","fastest_Lap_Time","fastest_Lap_Speed","fastest_Lap_Speed_Units","status_ID"
1,1,67,1,2,1,1,"1",9,70,"02:13:23.600",8003600,NA,NA,NA,NA,NA,1
2,1,65,1,3,2,2,"2",6,70,"02:13:26.200",8006200,NA,NA,NA,NA,NA,1
3,1,40,1,4,4,3,"3",4,70,"02:14:15.599",8055600,NA,NA,NA,NA,NA,1
4,1,52,5,14,6,4,"4",3,68,NA,NA,NA,NA,NA,NA,NA,12
5,1,44,5,15,9,5,"5",2,68,NA,NA,NA,NA,NA,NA,NA,12
6,1,26,3,12,13,6,"6",0,67,NA,NA,NA,NA,NA,NA,NA,13
7,1,33,3,11,15,7,"7",0,67,NA,NA,NA,NA,NA,NA,NA,13
8,1,64,5,16,14,8,"8",0,65,NA,NA,NA,NA,NA,NA,NA,15
9,1,31,4,6,16,9,"9",0,64,NA,NA,NA,NA,NA,NA,NA,16
10,1,71,4,10,20,10,"10",0,64,NA,NA,NA,NA,NA,NA,NA,16
11,1,50,4,10,20,10,"10",0,64,NA,NA,NA,NA,NA,NA,NA,16
12,1,57,5,18,21,11,"11",0,64,NA,NA,NA,NA,NA,NA,NA,16
13,1,66,1,1,3,12,"R",0,62,NA,NA,NA,NA,NA,NA,NA,44
14,1,9,2,23,19,13,"N",0,57,NA,NA,NA,NA,NA,NA,NA,60
15,1,22,4,21,5,14,"R",0,49,NA,NA,NA,NA,NA,NA,NA,58
16,1,74,4,5,18,15,"R",0,44,NA,NA,NA,NA,NA,NA,NA,5
17,1,59,2,24,17,16,"R",0,43,NA,NA,NA,NA,NA,NA,NA,7
18,1,28,4,20,8,17,"R",0,36,NA,NA,NA,NA,NA,NA,NA,5
19,1,55,4,19,11,18,"R",0,26,NA,NA,NA,NA,NA,NA,NA,8
20,1,15,5,17,7,19,"R",0,8,NA,NA,NA,NA,NA,NA,NA,51
21,1,78,3,9,10,20,"R",0,5,NA,NA,NA,NA,NA,NA,NA,6
22,1,42,3,9,10,20,"R",0,5,NA,NA,NA,NA,NA,NA,NA,6
