"","year","num_rounds"
"1",1950,7
"2",1951,8
"3",1952,8
"4",1953,9
"5",1954,9
"6",1955,7
"7",1956,8
"8",1957,8
"9",1958,11
"10",1959,9
"11",1960,10
"12",1961,8
"13",1962,9
"14",1963,10
"15",1964,10
"16",1965,10
"17",1966,9
"18",1967,11
"19",1968,12
"20",1969,11
"21",1970,13
"22",1971,11
"23",1972,12
"24",1973,15
"25",1974,15
"26",1975,14
"27",1976,16
"28",1977,17
"29",1978,16
"30",1979,15
"31",1980,14
"32",1981,15
"33",1982,16
"34",1983,15
"35",1984,16
"36",1985,16
"37",1986,16
"38",1987,16
"39",1988,16
"40",1989,16
"41",1990,16
"42",1991,16
"43",1992,16
"44",1993,16
"45",1994,16
"46",1995,17
"47",1996,16
"48",1997,17
"49",1998,16
"50",1999,16
"51",2000,17
"52",2001,17
"53",2002,17
"54",2003,16
"55",2004,18
"56",2005,19
"57",2006,18
"58",2007,17
"59",2008,18
"60",2009,17
"61",2010,19
"62",2011,19
"63",2012,20
"64",2013,19
"65",2014,19
"66",2015,19
"67",2016,21
"68",2017,20
"69",2018,21
"70",2019,21
"71",2020,17
"72",2021,22
"73",2022,22
"74",2023,23
